ID,Neonic,Conc,Group,Lin,HatchDate,IntoPints,PupDate,DeathPreRX,DeathPostRX,TimePostRX,EclosDate,OEScore,Sex,WeightEclos,Day1Amount,Day2Amount,Day3Amount,Day4Amount,Day5Amount,TotalAmount,AverageAmount,Day2Loss,Day3Loss,Day4Loss,Day5Loss,Day2PerLoss,Day3PerLoss,Day4PerLoss,Day5PerLoss,WeightPostCages,SurvivedRX,FeedingDayDeath,DeathResultofRX,DateFirstFeeding,DateIntoCages,Matings,NumberMated,DateInOv,DateOutOV,Eggs,EggScore,Contact,Feeding,Flying,Mating,Notes
47,CL,19,CL025,B,5/12/2019,5/14/2019,5/22/2019,,6/26/2019,22,6/1/2019,0,M,0.7454,0.1179,0.0886,0.2534,0.3147,0.3171,1.0917,0.21834,0.0489,0.0584,0.0709,-0.0254,0.069977104,0.089859978,0.119864751,-0.048789858,0.503,1,,,6/4/2019,6/14/2019,0,,,,,,0,0,41,0,
48,CL,19,CL025,B,5/12/2019,5/14/2019,5/23/2019,,6/16/2019,11,6/1/2019,0,M,0.7459,0.1089,0.1829,0.1891,0.1937,0.143,0.8176,0.16352,0.0378,0.0176,0.0373,-0.0116,0.055571891,0.02739726,0.059699104,-0.019744681,,1,,1,6/5/2019,6/14/2019,1,,,,,,10,360,,,
49,CL,19,CL025,B,5/12/2019,5/14/2019,5/23/2019,,7/23/2019,49,6/1/2019,0,F,0.633,0.0828,0.1614,0.2501,0.2717,0.2677,1.0337,0.20674,0.0545,0.0238,0.0019,-0.0224,0.089520368,0.042937038,0.003581527,-0.042376088,0.9568,1,,,6/4/2019,6/14/2019,3,,,,,,0,0,12,1200,
50,CL,19,CL025,B,5/12/2019,5/15/2019,5/22/2019,,7/4/2019,29,6/3/2019,0,M,0.6683,0.0807,0.0618,0.1244,0.2412,0.117,0.6251,0.12502,0.0458,0.0246,0.0442,-0.0275,0.068532096,0.039518072,0.073925406,-0.049665884,0.6718,1,,,6/5/2019,6/14/2019,0,,,,,,0,0,0,0,
51,CL,19,CL025,B,5/12/2019,5/15/2019,,5/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
52,CL,19,CL025,D,5/12/2019,5/15/2019,,5/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
53,CL,19,CL025,D,5/12/2019,5/15/2019,5/22/2019,,6/14/2019,10,5/31/2019,0,M,0.7056,0.115,0.0785,0.1243,0.0968,0.1037,0.5183,0.10366,0.0645,0.0399,0.0847,0.0313,0.103117506,0.071122995,0.162540779,0.07172319,,0,5,1,6/4/2019,,,,,,,,,,,,
54,CL,19,CL025,D,5/12/2019,5/15/2019,5/22/2019,,7/1/2019,27,5/31/2019,0,F,0.5454,0.1248,0.1338,0.179,0.2091,0.1693,0.816,0.1632,0.0167,0.0146,0.0119,-0.0169,0.032668232,0.029524772,0.024796833,-0.036111111,0.6028,1,,,6/4/2019,6/14/2019,1,,,,,,5,60,28,0,
55,CL,19,CL025,D,5/12/2019,5/15/2019,5/22/2019,,6/23/2019,19,6/1/2019,0,M,0.6802,0.127,0.1273,0.1444,0.1557,0.1372,0.6916,0.13832,0.0442,0.0341,0.0576,-0.013,0.069246436,0.057397744,0.102857143,-0.025875796,0.4503,1,,,6/4/2019,6/14/2019,1,,,,,,40,0,35,0,
56,CL,19,CL025,D,5/12/2019,5/15/2019,5/22/2019,,7/8/2019,33,6/2/2019,0,F,0.6193,0.0822,0.1047,0.1464,0.1907,0.1592,0.6832,0.13664,0.0438,0.0326,0.0288,0.0064,0.073576348,0.059111514,0.055502024,0.013058559,0.9482,1,,,6/5/2019,6/14/2019,3,3,6/21/2019,6/24/2019,366,1,0,900,50,1200,
